reference_number,gazetted_name,alias_local_name,waterbody_type,waterbody_id_identifier,watershed_code_45_digit,twc_number,reach_number,site_number,survey_date,utm_method,utm_zone,utm_easting,utm_northing,no_visible_channel,dewatered_dry_int_channel
1,Unnamed Tributary to Maxan,197909_ds,stream,,,,,1,44438,GPS general,,,,visible channel,
2,Robert Hatch,197912_ds,stream,,,,,2,44439,GPS general,,,,visible channel,
3,Robert Hatch,197912_us,stream,,,,,3,44450,GPS general,9,670963.046,6046221.198,visible channel,
4,Robert Hatch,197912_ds_ef1,stream,,,,,4,44450,GPS general,,,,visible channel,
5,Robert Hatch,197912_ds_ef2,stream,,,,,5,44439,GPS general,,,,visible channel,
6,Robert Hatch,197912_ds_ef3,stream,,,,,6,44439,GPS general,,,,visible channel,
7,Taman Creek,197967_ds,stream,,,,,7,44439,GPS general,,,,visible channel,
8,Taman Creek,197967_us,stream,,,,,8,44439,GPS general,9,692434.601,6032330.51,visible channel,
9,Taman Creek,197967_us2,stream,,,,,9,44439,GPS general,,,,visible channel,
10,Unnamed Tributary to Thautil River,198016_us,stream,,,,,10,44442,GPS general,9,608138.089,6020911.199,visible channel,
11,Unnamed Tributary to Thautil River,198016_ds,stream,,,,,11,44442,GPS general,,,,visible channel,
12,Cesford,198048_ds,stream,,,,,12,44444,GPS general,,,,visible channel,
13,Cesford,198048_us,stream,,,,,13,44444,GPS general,9,674397.136,6043432.531,visible channel,
14,Cesford,198049_us,stream,,,,,14,44444,GPS general,9,674875.419,6043782.036,visible channel,
15,Cesford,198049_us2,stream,,,,,15,44444,GPS general,,,,visible channel,
16,Thompson Creek,123377_ds,stream,,,,,16,44444,GPS general,,,,visible channel,
17,Thompson Creek,123377_us,stream,,,,,17,44444,GPS general,9,641626,6049390,visible channel,
18,Thompson Creek,123375_us,stream,,,,,18,44444,GPS general,9,642497,6048191,visible channel,
19,Thompson Creek,123375_ds,stream,,,,,19,44444,GPS general,,,,visible channel,
20,Unnamed Tributary to Owen Creek,197378_ds,stream,,,,,20,44446,GPS general,,,,visible channel,
21,Unnamed Tributary to Owen Creek,197378_us,stream,,,,,21,44446,GPS general,9,645087,5998808,visible channel,
22,Unnamed Tributary to Owen Creek,197379_us,stream,,,,,22,44446,GPS general,9,640963,6005924,visible channel,
23,Unnamed Tributary to Owen Creek,197379_ds,stream,,,,,23,44446,GPS general,,,,visible channel,
24,Unnamed Tributary to Lamprey,198064_us,stream,,,,,24,44447,GPS general,9,623368.994,6000282.98,visible channel,
25,Unnamed Tributary to Lamprey,198064_ds,stream,,,,,25,44447,GPS general,,,,visible channel,
26,McBride Creek,198000_ds,stream,,,,,26,44447,GPS general,,,,visible channel,
27,McBride Creek,198000_us,stream,,,,,27,44447,GPS general,9,605511.019,5992667.039,visible channel,
28,Unnamed Tributary to Nanika,198008_us,stream,,,,,28,44447,GPS general,9,606426.18,5986782,visible channel,
29,Unnamed Tributary to Nanika,198008_ds,stream,,,,,29,44447,GPS general,,,,visible channel,
30,Richfield Creek,197662_ds_ef1,stream,,,,,30,44448,GPS general,,,,visible channel,
31,Richfield Creek,197662_ds_ef2,stream,,,,,31,44448,GPS general,,,,visible channel,
32,Richfield Creek,197662_us_ef1,stream,,,,,32,44449,GPS general,,,,visible channel,
33,Richfield Creek,197662_us_ef2,stream,,,,,33,44449,GPS general,,,,visible channel,
34,Richfield Creek,197662_us_ef3,stream,,,,,34,44449,GPS general,,,,visible channel,
35,Richfield Creek,197662_ds_ef3,stream,,,,,35,44449,GPS general,,,,visible channel,
36,Peacock Creek,197962_ds,stream,,,,,36,44450,GPS general,,,,visible channel,
37,Peacock Creek,197962_us,stream,,,,,37,44450,GPS general,9,643460.294,6025889.542,visible channel,
